City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,walvis bay,-22.9575,14.5053,21.02,67,63,5.59,NA,1738940068
342,kizhinga,51.8462,109.9097,-30.91,99,47,1.27,RU,1738940069
343,maracacume,-2.0428,-45.9592,28.33,79,68,2.92,BR,1738940070
344,embrun,44.5639,6.4953,2.99,66,74,2.68,FR,1738940071
345,fortuna,40.5982,-124.1573,5.75,97,100,2.06,US,1738940073
346,pangody,65.85,74.4859,-11.96,92,34,6.67,RU,1738940074
347,jogeva,58.7467,26.3939,-4.14,93,7,1.61,EE,1738940075
348,eyl,7.9803,49.8164,24.2,71,7,6.13,SO,1738940076
349,auki,-8.7676,160.7034,24.99,91,100,1.98,SB,1738940079
350,santa cruz,-17.8,-63.1667,27.03,83,75,3.6,BO,1738940047
351,sao joao da barra,-21.6403,-41.0511,33.05,83,53,5.96,BR,1738940081
352,weiser,44.251,-116.9693,1.11,96,100,2.79,US,1738940082
353,palmer,42.1584,-72.3287,1.84,52,75,12.86,US,1738940083
354,rio grande,-32.035,-52.0986,25.6,62,6,5.02,BR,1738939914
355,kapoeta,4.7717,33.5903,36.31,17,91,6.07,SS,1738940085
356,vorkuta,67.5,64.0,-4.97,94,100,11.62,RU,1738940001
357,divino das laranjeiras,-18.7778,-41.4797,28.88,54,99,1.36,BR,1738940088
358,djelfa,34.6728,3.263,8.17,36,4,4.12,DZ,1738940089
